index,year,month,day_of_week,unique_carrier,arr_delay,origin,dest,distance,depart_time,arrive_time,schedule_dep_time,schedule_arr_time,total_delay,delay_cause,delay_minute
110,2007,2,6,UA,-5.0,SFO,SAN,447,10:53,12:11,10:50,12:16,0.0,,
111,2007,9,2,9E,-6.0,JAN,MEM,189,11:25,12:29,11:30,12:35,0.0,,
112,2007,7,3,US,-5.0,DCA,CLT,331,05:56,07:05,06:00,07:10,0.0,,
113,2007,12,4,UA,26.0,DEN,OAK,957,11:42,13:51,11:41,13:25,26.0,nas_delay,26.0
114,2007,7,2,YV,-4.0,DEN,RAP,301,18:48,20:20,18:55,20:24,0.0,,
115,2007,12,1,OO,33.0,SLC,CPR,320,09:12,10:50,08:45,10:17,33.0,carrier_delay,33.0
116,2007,5,6,UA,-10.0,ORD,PIT,412,09:12,11:29,09:15,11:39,0.0,,
117,2007,7,2,XE,-14.0,BHM,IAH,562,10:53,12:45,11:10,12:59,0.0,,
118,2007,6,3,OO,10.0,DEN,BZN,525,20:56,22:36,20:50,22:26,0.0,,
119,2007,5,2,WN,4.0,SAN,PHX,304,16:14,17:19,16:05,17:15,0.0,,
120,2007,3,5,OO,-5.0,LAX,ONT,47,06:44,07:23,06:50,07:28,0.0,,
121,2007,3,2,FL,-12.0,MEM,ATL,332,10:10,12:20,10:17,12:32,0.0,,
122,2007,1,3,MQ,56.0,IND,ORD,177,21:13,21:11,20:00,20:15,56.0,carrier_delay,1.0
122,2007,1,3,MQ,56.0,IND,ORD,177,21:13,21:11,20:00,20:15,56.0,late_aircraft_delay,55.0
123,2007,4,6,NW,-21.0,ANC,MSP,2518,09:16,17:21,09:20,17:42,0.0,,
124,2007,8,4,DL,-7.0,DEN,ATL,1199,07:45,12:35,07:45,12:42,0.0,,
125,2007,10,2,XE,-10.0,IAH,MEM,469,07:07,08:35,07:10,08:45,0.0,,
126,2007,8,5,MQ,8.0,DFW,LBB,282,12:20,13:28,12:20,13:20,0.0,,
127,2007,1,3,WN,-3.0,PHX,CMH,1671,10:22,15:57,10:20,16:00,0.0,,
128,2007,4,3,XE,-8.0,MCI,IAH,643,12:22,14:27,12:30,14:35,0.0,,
129,2007,1,6,WN,-12.0,BOI,SEA,399,12:20,12:38,12:25,12:50,0.0,,
130,2007,6,3,XE,1.0,BUF,CLE,192,18:53,19:50,18:50,19:49,0.0,,
131,2007,11,7,NW,-5.0,MIA,MSP,1501,12:38,15:20,12:40,15:25,0.0,,
132,2007,9,4,9E,12.0,MDT,MSP,898,08:49,10:31,08:30,10:19,0.0,,
133,2007,10,3,XE,-18.0,IAH,GPT,376,14:25,15:39,14:30,15:57,0.0,,
134,2007,9,2,FL,-13.0,ATL,DEN,1199,09:25,10:26,09:30,10:39,0.0,,
135,2007,6,1,WN,-11.0,BNA,LAX,1797,16:30,18:29,16:20,18:40,0.0,,
136,2007,2,6,AS,1.0,FAI,ANC,261,11:19,12:14,11:10,12:13,0.0,,
137,2007,12,3,XE,1.0,EWR,BDL,116,14:22,15:23,14:25,15:22,0.0,,
138,2007,5,6,FL,-22.0,FLL,HPN,1098,14:20,17:08,14:30,17:30,0.0,,
139,2007,4,6,WN,17.0,MDW,LAS,1521,20:14,22:02,19:50,21:45,17.0,carrier_delay,17.0
140,2007,4,1,WN,-8.0,STL,MDW,251,16:29,17:22,16:30,17:30,0.0,,
141,2007,7,6,WN,-17.0,MDW,SAN,1728,16:17,18:08,16:15,18:25,0.0,,
142,2007,8,1,US,10.0,CLT,SFO,2296,16:42,18:55,16:25,18:45,0.0,,
143,2007,2,1,YV,-9.0,DEN,GJT,212,20:44,21:56,20:50,22:05,0.0,,
144,2007,11,2,F9,16.0,SMF,DEN,910,15:46,18:56,15:27,18:40,16.0,nas_delay,10.0
144,2007,11,2,F9,16.0,SMF,DEN,910,15:46,18:56,15:27,18:40,16.0,late_aircraft_delay,6.0
145,2007,3,5,MQ,46.0,OMA,ORD,416,16:30,18:41,16:25,17:55,46.0,nas_delay,46.0
146,2007,1,2,9E,-12.0,ROC,DTW,296,11:54,13:05,11:55,13:17,0.0,,
147,2007,1,5,MQ,175.0,MSN,MQT,241,22:51,00:53,19:55,21:58,175.0,late_aircraft_delay,175.0
148,2007,1,5,WN,43.0,LAS,HOU,1235,16:04,21:08,15:30,20:25,43.0,carrier_delay,7.0
148,2007,1,5,WN,43.0,LAS,HOU,1235,16:04,21:08,15:30,20:25,43.0,nas_delay,9.0
148,2007,1,5,WN,43.0,LAS,HOU,1235,16:04,21:08,15:30,20:25,43.0,late_aircraft_delay,27.0
149,2007,4,3,MQ,20.0,JAX,ORD,865,09:08,10:55,08:55,10:35,20.0,nas_delay,20.0
150,2007,12,3,XE,29.0,STL,CLE,487,12:40,15:04,12:00,14:35,29.0,late_aircraft_delay,29.0
151,2007,12,6,CO,12.0,OKC,IAH,395,06:20,07:57,06:15,07:45,0.0,,
152,2007,9,7,XE,-16.0,IAH,OKC,395,12:36,13:49,12:40,14:05,0.0,,
153,2007,12,4,UA,60.0,DEN,PDX,992,08:42,11:21,08:25,10:21,60.0,carrier_delay,17.0
153,2007,12,4,UA,60.0,DEN,PDX,992,08:42,11:21,08:25,10:21,60.0,nas_delay,43.0
154,2007,2,2,MQ,-1.0,SJT,DFW,228,17:37,18:34,17:35,18:35,0.0,,
155,2007,5,3,NW,-4.0,MKE,MSP,297,06:29,07:42,06:30,07:46,0.0,,
156,2007,10,5,CO,-3.0,EWR,IAH,1400,11:59,14:40,11:45,14:43,0.0,,
157,2007,10,5,CO,2.0,MFE,IAH,316,10:43,12:01,10:40,11:59,0.0,,
158,2007,2,4,HA,23.0,LAS,HNL,2762,02:40,07:23,02:45,07:00,23.0,carrier_delay,23.0
159,2007,8,1,EV,8.0,ATL,FAY,331,19:21,20:40,19:16,20:32,0.0,,
160,2007,5,6,EV,18.0,ATL,ILG,642,15:20,17:23,14:50,17:05,18.0,carrier_delay,18.0
161,2007,5,7,OH,62.0,RDU,JFK,426,16:55,19:31,16:48,18:29,62.0,nas_delay,62.0
162,2007,8,3,AA,-13.0,IAD,LAX,2288,17:43,19:52,17:45,20:05,0.0,,
163,2007,7,4,XE,-6.0,ICT,LAX,1203,08:06,09:12,08:10,09:18,0.0,,
164,2007,5,1,OH,11.0,CVG,DFW,812,13:50,15:15,13:35,15:04,0.0,,
165,2007,4,3,AA,26.0,AUS,DFW,190,08:49,09:56,08:30,09:30,26.0,carrier_delay,19.0
165,2007,4,3,AA,26.0,AUS,DFW,190,08:49,09:56,08:30,09:30,26.0,nas_delay,7.0
166,2007,4,4,EV,-44.0,FSD,ATL,954,13:45,16:56,13:45,17:40,0.0,,
167,2007,5,3,US,9.0,LAS,PHX,256,06:42,08:00,06:45,07:51,0.0,,
168,2007,7,5,XE,36.0,ORD,IAH,925,12:40,15:34,12:10,14:58,36.0,carrier_delay,6.0
168,2007,7,5,XE,36.0,ORD,IAH,925,12:40,15:34,12:10,14:58,36.0,nas_delay,6.0
168,2007,7,5,XE,36.0,ORD,IAH,925,12:40,15:34,12:10,14:58,36.0,late_aircraft_delay,24.0
169,2007,2,2,UA,39.0,IAD,SFO,2419,12:39,15:51,12:20,15:12,39.0,nas_delay,23.0
169,2007,2,2,UA,39.0,IAD,SFO,2419,12:39,15:51,12:20,15:12,39.0,late_aircraft_delay,16.0
170,2007,9,5,B6,-26.0,EWR,MCO,938,07:55,10:34,08:05,11:00,0.0,,
171,2007,5,2,NW,-10.0,SEA,MSP,1399,12:18,17:24,12:20,17:34,0.0,,
172,2007,3,1,UA,-21.0,IAD,TUS,1933,17:20,20:18,17:25,20:39,0.0,,
173,2007,6,1,XE,30.0,RDU,MSY,779,12:09,13:14,11:30,12:44,30.0,carrier_delay,4.0
173,2007,6,1,XE,30.0,RDU,MSY,779,12:09,13:14,11:30,12:44,30.0,late_aircraft_delay,26.0
174,2007,12,5,UA,7.0,PIT,ORD,412,12:49,13:22,12:33,13:15,0.0,,
175,2007,3,5,AS,22.0,LAS,SEA,866,18:40,21:25,18:23,21:03,22.0,carrier_delay,6.0
175,2007,3,5,AS,22.0,LAS,SEA,866,18:40,21:25,18:23,21:03,22.0,nas_delay,5.0
175,2007,3,5,AS,22.0,LAS,SEA,866,18:40,21:25,18:23,21:03,22.0,late_aircraft_delay,11.0
176,2007,8,3,US,-5.0,CLT,JAX,329,11:41,13:05,11:45,13:10,0.0,,
177,2007,9,4,DL,2.0,ATL,BHM,134,20:45,20:35,20:35,20:33,0.0,,
178,2007,5,7,OH,-19.0,GSP,LGA,610,16:48,18:33,16:55,18:52,0.0,,
179,2007,9,4,YV,-14.0,IAD,GSP,383,12:21,13:34,12:22,13:48,0.0,,
180,2007,8,3,WN,-11.0,RNO,LAS,345,06:05,07:09,06:10,07:20,0.0,,
181,2007,1,4,MQ,-2.0,AEX,DFW,285,06:55,08:38,07:00,08:40,0.0,,
182,2007,5,6,AA,-25.0,BOS,LAX,2611,17:17,19:55,17:05,20:20,0.0,,
183,2007,5,5,WN,-3.0,PDX,SLC,630,07:34,10:17,07:35,10:20,0.0,,
184,2007,12,2,AA,18.0,MCO,STL,880,20:11,21:28,19:45,21:10,18.0,late_aircraft_delay,18.0
185,2007,6,5,XE,29.0,IAH,TLH,658,16:12,18:59,15:30,18:30,29.0,carrier_delay,29.0
186,2007,7,7,XE,20.0,IAH,COS,809,21:37,22:52,21:15,22:32,20.0,weather_delay,20.0
187,2007,10,7,XE,-13.0,IAD,EWR,213,19:21,20:56,19:30,21:09,0.0,,
188,2007,3,1,US,21.0,BOS,PHL,280,19:50,21:22,19:30,21:01,21.0,carrier_delay,5.0
188,2007,3,1,US,21.0,BOS,PHL,280,19:50,21:22,19:30,21:01,21.0,nas_delay,1.0
188,2007,3,1,US,21.0,BOS,PHL,280,19:50,21:22,19:30,21:01,21.0,late_aircraft_delay,15.0
189,2007,6,3,MQ,-1.0,FAT,LAX,209,19:07,20:24,19:10,20:25,0.0,,
190,2007,5,7,9E,80.0,MEM,MCI,392,15:43,17:19,14:35,15:59,80.0,nas_delay,12.0
190,2007,5,7,9E,80.0,MEM,MCI,392,15:43,17:19,14:35,15:59,80.0,late_aircraft_delay,68.0
191,2007,4,6,9E,32.0,DAY,MSP,574,07:33,08:41,07:10,08:09,32.0,weather_delay,23.0
191,2007,4,6,9E,32.0,DAY,MSP,574,07:33,08:41,07:10,08:09,32.0,nas_delay,9.0
192,2007,1,7,DL,-6.0,CHS,ATL,259,17:47,19:02,17:55,19:08,0.0,,
193,2007,11,4,DL,-15.0,MCO,CVG,756,07:45,09:42,07:50,09:57,0.0,,
194,2007,5,2,CO,-18.0,RSW,IAH,861,06:21,07:38,06:30,07:56,0.0,,
195,2007,6,6,NW,19.0,DTW,MSP,528,20:56,21:57,20:50,21:38,19.0,carrier_delay,6.0
195,2007,6,6,NW,19.0,DTW,MSP,528,20:56,21:57,20:50,21:38,19.0,nas_delay,13.0
196,2007,6,5,US,8.0,PHX,BUR,369,10:14,11:55,10:12,11:47,0.0,,
197,2007,11,5,WN,-5.0,JAX,ORF,543,18:29,19:55,18:35,20:00,0.0,,
198,2007,11,1,US,-5.0,PDX,PHX,1009,15:06,18:39,15:10,18:44,0.0,,
199,2007,5,1,WN,-4.0,HRL,HOU,276,08:59,09:56,09:00,10:00,0.0,,
200,2007,6,4,9E,2.0,GRR,LGA,618,07:59,10:00,08:00,09:58,0.0,,
201,2007,2,3,DL,-5.0,ATL,MCI,692,07:54,09:05,07:54,09:10,0.0,,
202,2007,5,1,FL,7.0,ATL,MDW,590,19:42,20:35,19:40,20:28,0.0,,
203,2007,8,5,WN,29.0,SNA,OAK,371,18:53,20:04,18:20,19:35,29.0,carrier_delay,4.0
203,2007,8,5,WN,29.0,SNA,OAK,371,18:53,20:04,18:20,19:35,29.0,late_aircraft_delay,25.0
204,2007,8,1,DL,-4.0,ATL,MLB,443,12:54,14:22,12:56,14:26,0.0,,
205,2007,3,3,DL,19.0,LAX,ATL,1946,13:21,20:49,13:25,20:30,19.0,nas_delay,19.0
206,2007,11,4,AA,-6.0,LAS,JFK,2248,07:26,15:19,07:35,15:25,0.0,,
207,2007,7,5,MQ,43.0,ORD,BUF,473,20:44,23:03,19:50,22:20,43.0,carrier_delay,39.0
207,2007,7,5,MQ,43.0,ORD,BUF,473,20:44,23:03,19:50,22:20,43.0,late_aircraft_delay,4.0
208,2007,1,2,OO,-12.0,SFO,MRY,77,19:16,19:53,19:25,20:05,0.0,,
209,2007,6,7,DL,7.0,ATL,DCA,547,16:17,18:06,16:20,17:59,0.0,,
210,2007,7,7,OO,22.0,SFO,EUG,451,22:39,00:18,22:30,23:56,22.0,carrier_delay,22.0
211,2007,5,5,YV,-19.0,IAD,SPI,657,16:40,17:24,16:44,17:43,0.0,,
212,2007,11,2,B6,-34.0,JFK,CLT,541,09:52,11:41,10:00,12:15,0.0,,
213,2007,2,2,EV,24.0,ATL,CLE,554,11:14,12:59,10:51,12:35,24.0,carrier_delay,23.0
213,2007,2,2,EV,24.0,ATL,CLE,554,11:14,12:59,10:51,12:35,24.0,nas_delay,1.0
214,2007,3,4,FL,19.0,ATL,TPA,406,20:16,21:45,20:00,21:26,19.0,carrier_delay,16.0
214,2007,3,4,FL,19.0,ATL,TPA,406,20:16,21:45,20:00,21:26,19.0,nas_delay,3.0
215,2007,4,7,AA,24.0,DFW,SLC,988,13:46,15:44,13:30,15:20,24.0,carrier_delay,2.0
215,2007,4,7,AA,24.0,DFW,SLC,988,13:46,15:44,13:30,15:20,24.0,nas_delay,8.0
215,2007,4,7,AA,24.0,DFW,SLC,988,13:46,15:44,13:30,15:20,24.0,late_aircraft_delay,14.0
216,2007,12,5,AQ,0.0,OGG,HNL,100,10:40,11:14,10:40,11:14,0.0,,
217,2007,9,7,AA,-8.0,ORD,AUS,978,12:30,15:02,12:35,15:10,0.0,,
218,2007,12,5,WN,12.0,OAK,MCI,1489,14:03,19:17,13:40,19:05,0.0,,
219,2007,11,5,XE,-12.0,IAH,MOB,427,10:17,11:35,10:25,11:47,0.0,,
